run_id,query,representation,files_read,input_size_bytes,shuffle_read_bytes,shuffle_write_bytes,notes,timestamp
r1,Q1,row,3,0,0,284,Job 11 - sortBy Stage 23,2025-12-19T23:31:27
r1,Q1,column,3,0,143,284,Job 12 - collect Stage 25,2025-12-19T23:31:27
r1,Q2,row,3,0,0,0,Job 10 - sortBy Stage 22,2025-12-19T23:31:26
r1,Q2,column,3,0,0,0,Job 9 - collect Stage 21,2025-12-19T23:31:26
r1,Q3,row,3,0,0,0,Requires additional jobs,2025-12-19T23:31:26
r1,Q3,column,3,0,0,0,Requires additional jobs,2025-12-19T23:31:26
r1,Join,normal,7,0,0,0,Requires join job identification,2025-12-19T23:31:27
r1,Join,broadcast,7,0,0,0,Requires join job identification,2025-12-19T23:31:27
